Unnamed: 0,building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,day,month,hour
1076687,122,0,2016-01-01 00:00:00,134.3,1,0,83043,3.8,,2.4,,1020.9,240.0,3.1,1,1,0
1076750,122,0,2016-01-01 01:00:00,267.1,1,0,83043,3.7,0.0,2.4,,1021.6,230.0,2.6,1,1,1
1076813,122,0,2016-01-01 02:00:00,268.7,1,0,83043,2.6,0.0,1.9,,1021.9,0.0,0.0,1,1,2
1076876,122,0,2016-01-01 03:00:00,267.7,1,0,83043,2.0,0.0,1.2,,1022.3,170.0,1.5,1,1,3
1076939,122,0,2016-01-01 04:00:00,267.8,1,0,83043,2.3,0.0,1.8,,1022.7,110.0,1.5,1,1,4
1077002,122,0,2016-01-01 05:00:00,267.3,1,0,83043,2.4,,2.0,,1023.0,100.0,1.0,1,1,5
1077065,122,0,2016-01-01 06:00:00,262.9,1,0,83043,2.3,,1.8,,1023.0,90.0,1.5,1,1,6
1077128,122,0,2016-01-01 07:00:00,269.4,1,0,83043,2.6,,1.9,,1022.5,80.0,1.0,1,1,7
1077191,122,0,2016-01-01 08:00:00,271.9,1,0,83043,2.2,,1.5,,1022.3,60.0,1.0,1,1,8
1077254,122,0,2016-01-01 09:00:00,280.4,1,0,83043,2.2,,1.2,,1022.0,100.0,2.6,1,1,9
1077317,122,0,2016-01-01 10:00:00,276.9,1,0,83043,4.0,,1.8,,1020.9,90.0,4.1,1,1,10
1077380,122,0,2016-01-01 11:00:00,279.2,1,0,83043,5.4,,1.9,,1020.4,120.0,3.6,1,1,11
1077443,122,0,2016-01-01 12:00:00,270.8,1,0,83043,7.0,,4.4,,1019.1,120.0,5.1,1,1,12
1077506,122,0,2016-01-01 13:00:00,274.2,1,0,83043,7.2,,4.4,,1017.6,110.0,5.7,1,1,13
1077569,122,0,2016-01-01 14:00:00,270.2,1,0,83043,7.4,,4.5,,1016.2,100.0,5.1,1,1,14
1077632,122,0,2016-01-01 15:00:00,269.4,1,0,83043,7.5,,5.6,,1014.9,100.0,7.2,1,1,15
1077695,122,0,2016-01-01 16:00:00,267.2,1,0,83043,7.6,,6.7,,1013.8,110.0,5.7,1,1,16
1077758,122,0,2016-01-01 17:00:00,267.9,1,0,83043,8.0,,7.1,,1012.5,120.0,6.7,1,1,17
1077821,122,0,2016-01-01 18:00:00,264.3,1,0,83043,8.1,,6.5,,1011.0,130.0,7.7,1,1,18
1077884,122,0,2016-01-01 19:00:00,262.7,1,0,83043,8.1,,6.3,,1010.2,120.0,8.8,1,1,19
1077947,122,0,2016-01-01 20:00:00,264.0,1,0,83043,8.2,,6.2,,1008.8,120.0,8.2,1,1,20
1078010,122,0,2016-01-01 21:00:00,263.4,1,0,83043,8.5,,6.1,,1007.5,120.0,8.2,1,1,21
1078073,122,0,2016-01-01 22:00:00,258.7,1,0,83043,8.3,,6.5,,1006.4,130.0,8.2,1,1,22
1078136,122,0,2016-01-01 23:00:00,253.5,1,0,83043,7.9,,7.0,,1005.1,130.0,7.2,1,1,23
1078199,122,0,2016-01-02 00:00:00,255.3,1,0,83043,8.1,,7.4,,1004.2,130.0,7.2,2,1,0
1078262,122,0,2016-01-02 01:00:00,254.6,1,0,83043,8.2,,7.7,,1002.4,110.0,8.2,2,1,1
1078325,122,0,2016-01-02 02:00:00,251.0,1,0,83043,8.5,,8.1,,1001.9,120.0,6.7,2,1,2
1078388,122,0,2016-01-02 03:00:00,252.3,1,0,83043,9.1,,8.2,,1001.0,130.0,7.2,2,1,3
1078451,122,0,2016-01-02 04:00:00,247.2,1,0,83043,9.3,,8.3,,1000.0,130.0,7.2,2,1,4
1078514,122,0,2016-01-02 05:00:00,247.0,1,0,83043,9.6,,8.4,,998.9,130.0,8.2,2,1,5
1078577,122,0,2016-01-02 06:00:00,249.9,1,0,83043,9.7,,8.4,,998.3,130.0,7.7,2,1,6
1078640,122,0,2016-01-02 07:00:00,250.6,1,0,83043,9.4,,8.8,,997.9,130.0,8.2,2,1,7
1078703,122,0,2016-01-02 08:00:00,251.0,1,0,83043,9.7,,8.9,,997.5,140.0,7.2,2,1,8
1078766,122,0,2016-01-02 09:00:00,254.8,1,0,83043,9.9,,9.1,,997.6,140.0,7.2,2,1,9
1078829,122,0,2016-01-02 10:00:00,251.3,1,0,83043,9.8,,9.4,,997.3,130.0,6.2,2,1,10
1078892,122,0,2016-01-02 11:00:00,257.8,1,0,83043,9.9,,9.6,,996.7,130.0,7.2,2,1,11
1078955,122,0,2016-01-02 12:00:00,254.5,1,0,83043,10.1,,9.5,,996.0,130.0,8.2,2,1,12
1079018,122,0,2016-01-02 13:00:00,248.4,1,0,83043,10.0,,9.6,,995.1,130.0,7.7,2,1,13
1079081,122,0,2016-01-02 14:00:00,250.4,1,0,83043,10.0,,9.8,,994.3,120.0,8.2,2,1,14
1079144,122,0,2016-01-02 15:00:00,250.3,1,0,83043,10.2,,10.2,,994.3,140.0,5.7,2,1,15
1079207,122,0,2016-01-02 16:00:00,256.0,1,0,83043,11.2,,11.1,,994.7,190.0,5.1,2,1,16
1079270,122,0,2016-01-02 17:00:00,259.7,1,0,83043,10.9,,10.5,,995.4,210.0,6.7,2,1,17
1079333,122,0,2016-01-02 18:00:00,260.7,1,0,83043,10.9,,10.3,,995.9,230.0,7.2,2,1,18
1079396,122,0,2016-01-02 19:00:00,255.7,1,0,83043,10.4,,9.7,,997.0,260.0,8.2,2,1,19
1079459,122,0,2016-01-02 20:00:00,250.2,1,0,83043,10.1,,9.6,,998.3,270.0,6.2,2,1,20
1079522,122,0,2016-01-02 21:00:00,247.9,1,0,83043,9.9,,9.6,,999.2,260.0,8.8,2,1,21
1079585,122,0,2016-01-02 22:00:00,238.8,1,0,83043,9.9,,9.0,,999.9,260.0,7.2,2,1,22
1079648,122,0,2016-01-02 23:00:00,240.8,1,0,83043,10.0,,9.2,,1000.3,250.0,6.2,2,1,23
1079711,122,0,2016-01-03 00:00:00,251.5,1,0,83043,9.7,,9.2,,1001.1,240.0,6.7,3,1,0
1079774,122,0,2016-01-03 01:00:00,243.2,1,0,83043,9.3,,8.5,,1001.4,250.0,9.3,3,1,1
1079837,122,0,2016-01-03 02:00:00,243.3,1,0,83043,8.5,,7.2,,1002.0,250.0,7.7,3,1,2
1079900,122,0,2016-01-03 03:00:00,251.3,1,0,83043,7.7,,5.7,,1002.5,240.0,8.2,3,1,3
1079963,122,0,2016-01-03 04:00:00,254.3,1,0,83043,6.8,,3.9,,1001.7,230.0,5.7,3,1,4
1080026,122,0,2016-01-03 05:00:00,260.2,1,0,83043,6.3,,3.3,,1000.9,190.0,3.6,3,1,5
1080089,122,0,2016-01-03 06:00:00,264.5,1,0,83043,5.2,,2.5,,1000.0,160.0,3.1,3,1,6
1080152,122,0,2016-01-03 07:00:00,263.2,1,0,83043,5.8,,2.9,,998.7,150.0,3.6,3,1,7
1080215,122,0,2016-01-03 08:00:00,263.2,1,0,83043,6.8,,4.6,,997.1,150.0,4.6,3,1,8
1080278,122,0,2016-01-03 09:00:00,266.2,1,0,83043,7.9,,6.5,,995.5,140.0,4.6,3,1,9
1080341,122,0,2016-01-03 10:00:00,261.3,1,0,83043,8.9,,7.8,,993.6,150.0,6.2,3,1,10
1080404,122,0,2016-01-03 11:00:00,258.1,1,0,83043,9.2,,8.2,,991.5,150.0,8.2,3,1,11
1080467,122,0,2016-01-03 12:00:00,257.8,1,0,83043,9.1,,8.2,,989.0,140.0,9.3,3,1,12
1080530,122,0,2016-01-03 13:00:00,260.3,1,0,83043,8.9,,8.2,,987.0,150.0,8.2,3,1,13
1080593,122,0,2016-01-03 14:00:00,257.6,1,0,83043,8.9,,8.3,,984.6,140.0,9.3,3,1,14
1080656,122,0,2016-01-03 15:00:00,259.3,1,0,83043,9.6,,8.5,,984.7,190.0,5.1,3,1,15
1080719,122,0,2016-01-03 16:00:00,263.1,1,0,83043,9.4,,8.3,,984.2,190.0,4.6,3,1,16
1080782,122,0,2016-01-03 17:00:00,258.7,1,0,83043,8.3,,7.8,,984.6,190.0,3.6,3,1,17
1080845,122,0,2016-01-03 18:00:00,266.4,1,0,83043,8.2,,7.6,,984.2,210.0,4.6,3,1,18
1080908,122,0,2016-01-03 19:00:00,269.3,1,0,83043,8.1,0.0,7.5,,983.9,220.0,4.6,3,1,19
1080971,122,0,2016-01-03 20:00:00,266.2,1,0,83043,7.8,0.0,7.0,,984.0,190.0,3.6,3,1,20
1081034,122,0,2016-01-03 21:00:00,255.0,1,0,83043,7.4,0.0,6.8,,984.0,200.0,3.1,3,1,21
1081097,122,0,2016-01-03 22:00:00,254.8,1,0,83043,6.6,0.0,6.1,,984.0,200.0,3.6,3,1,22
1081160,122,0,2016-01-03 23:00:00,252.7,1,0,83043,6.5,0.0,5.9,,983.9,190.0,4.1,3,1,23
1081223,122,0,2016-01-04 00:00:00,248.2,1,0,83043,6.0,0.0,5.5,,983.8,180.0,4.1,4,1,0
1081286,122,0,2016-01-04 01:00:00,244.1,1,0,83043,6.3,,5.8,,983.5,180.0,3.1,4,1,1
1081349,122,0,2016-01-04 02:00:00,245.7,1,0,83043,6.6,,5.9,,983.5,170.0,3.6,4,1,2
1081412,122,0,2016-01-04 03:00:00,251.8,1,0,83043,6.1,,5.5,,983.3,180.0,4.1,4,1,3
1081475,122,0,2016-01-04 04:00:00,263.2,1,0,83043,6.4,,5.7,,983.1,180.0,4.1,4,1,4
1081538,122,0,2016-01-04 05:00:00,263.4,1,0,83043,5.8,,5.3,,983.2,170.0,2.1,4,1,5
